run_id,polymer_id,reference_polymer_id,fog_native_soft,fog_native_soft_sem,log_fog_native_soft,native_activity_soft_penalty,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_objective_native_soft
260209-3,PMBTA-7,GOX,1.1106688742228974,,0.10496242323015721,1.0,1.0673678226264924,0.7,1,1.1106688742228974,25.03333333333333,23.45333333333333,23.45333333333333,1.0673678226264924,10.306793152544651,True,1
260209-3,PMBTA-4,GOX,1.0605163542120086,,0.058755916131425084,0.7792044400457592,0.8827255745959551,0.7,1,1.3610245266951113,20.70285714285713,23.45333333333333,23.45333333333333,0.8827255745959551,12.630045369733926,True,2
260209-3,PMBTA-9,GOX,1.0512726776400212,,0.05000150414371077,1.0,1.0938032973280272,0.7,1,1.0512726776400212,25.653333333333325,23.45333333333333,23.45333333333333,1.0938032973280272,9.75560789253103,True,3
260209-3,PMBTA-11,GOX,1.0435699416938449,,0.04264747134919746,0.7047924994958612,0.8395192073418339,0.7,1,1.4806768551599392,19.68952380952381,23.45333333333333,23.45333333333333,0.8395192073418339,13.740395923646917,True,4
260209-3,PMBTA-3,GOX,1.025998718614735,,0.02566649783428427,1.0,1.0379476975554291,0.7,1,1.025998718614735,24.34333333333333,23.45333333333333,23.45333333333333,1.0379476975554291,9.521070422484636,True,5
260209-3,GOx,GOX,1.0,,0.0,1.0,1.0,0.7,1,1.0,23.45333333333333,23.45333333333333,23.45333333333333,1.0,9.279807323092594,True,6
260209-3,PMBTA-5,GOX,0.9954622344857329,,-0.0045480924247728455,1.0,1.0872654917566802,0.7,1,0.9954622344857329,25.5,23.45333333333333,23.45333333333333,1.0872654917566802,9.237697733442822,True,7
260209-3,GOx with DMSO,GOX,0.9660978059975991,,-0.03449020145017733,1.0,1.07546901648664,0.7,1,0.9660978059975991,25.22333333333333,23.45333333333333,23.45333333333333,1.07546901648664,8.965201494920208,True,8
260209-3,PMBTA-8,GOX,0.9446328450618603,,-0.05695895072736234,1.0,1.0879761227970437,0.7,1,0.9446328450618603,25.51666666666666,23.45333333333333,23.45333333333333,1.0879761227970437,8.766010793238843,True,9
260209-3,PMBTA-2,GOX,0.9204707694095403,,-0.08287003393592467,1.0,1.1088686753837407,0.7,1,0.9204707694095403,26.00666666666666,23.45333333333333,23.45333333333333,1.1088686753837407,8.541791386659327,True,10
260209-3,PMBTA-1,GOX,0.9170823499772536,,-0.08655800707484416,1.0,1.1446844798180784,0.7,1,0.9170823499772536,26.84666666666666,23.45333333333333,23.45333333333333,1.1446844798180784,8.510347507197883,True,11
260209-3,PMBTA-6,GOX,0.83083091693628,,-0.1853289742201518,1.0,1.2143263217737352,0.7,1,0.83083091693628,28.48,23.45333333333333,23.45333333333333,1.2143263217737352,7.709950827237026,True,12
260209-3,PMPC,GOX,0.6292773794036199,,-0.4631831347434583,0.43997088715518406,0.6633030130756109,0.7,0,1.4302704969241857,15.55666666666666,23.45333333333333,23.45333333333333,0.6633030130756109,13.272634631360342,True,13
260209-3,PMTAC,GOX,0.5853236775754764,,-0.5355902897607074,0.6756943658467749,0.822006305235413,0.7,1,0.8662550809373012,19.27878787878788,23.45333333333333,23.45333333333333,0.822006305235413,8.038680243748136,True,14
260209-3,PMBTA-10,GOX,0.5483405823645102,,-0.6008586844205116,0.40795707998594727,0.6387151790790221,0.7,0,1.3441134111054003,14.979999999999997,23.45333333333333,23.45333333333333,0.6387151790790221,12.47311347544286,True,15
