select_method_used,count,fraction
initial_positive_tangent,46,0.4107142857142857
initial_positive_promote_long_ext,29,0.25892857142857145
initial_positive,25,0.22321428571428573
initial_positive_ext,5,0.044642857142857144
initial_positive_promote_long_ext_col1_consensus_t3,1,0.008928571428571428
initial_positive_tangent_post_broad_overfit_ext_neighbor_recheck_right,1,0.008928571428571428
initial_positive_post_tangent_under_post_broad_overfit_ext_neighbor_recheck_right,1,0.008928571428571428
initial_positive_early_steep_delayed_steep,1,0.008928571428571428
initial_positive_delayed_steep_ext,1,0.008928571428571428
initial_positive_promote_long_ext_tangent,1,0.008928571428571428
initial_positive_post_tangent_under,1,0.008928571428571428
