polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-10,0.8306735105266918,1.584303629102552,0.06875692814838497,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.199454999916145,7,9,-2.0
PMBTA-1,1.4068560037345916,1.0435207133543523,0.016761741192366175,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1530903882565593,8,6,2.0
PMBTA-2,1.3600802066340403,1.0201631690338233,0.05728235156796379,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1272803017823747,9,7,2.0
PMPC,1.1915870752848259,1.0585402861622097,0.07813965932725397,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.1109967542783141,10,8,2.0
PMBTA-7,1.315547398948704,0.9690180058594088,0.042582530406796715,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.059080079706058,11,10,1.0
PMBTA-9,1.3729721769077399,0.9490422146065087,0.01931522042753392,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.0486916471401921,12,11,1.0
PMBTA-8,1.3018850824723585,0.9375443043665107,0.03466946754172039,gentle_penalty,"Gentler penalty (exp=1.5, bonus=0.35)",1.5,0.35,0.05,0.3,1.0201980029159077,13,13,0.0
PMBTA-4,1.340810222947254,1.3212807055874027,0.09238709482795082,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.4557653833861248,1,1,0.0
PMBTA-6,1.3374796084828715,1.3145401015060882,0.06402731197096412,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.4468063173066898,2,2,0.0
PMBTA-5,1.0275738626064892,1.3241427501476943,0.11437670218414052,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.3241427501476943,3,3,0.0
PMBTA-11,1.3889908464745335,1.1544580233097181,0.0056217611147356674,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.2756761157572385,4,4,0.0
PMBTA-3,1.2090130505709624,1.2084033627835071,0.032181703909680226,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.2756565295462523,5,5,0.0
PMBTA-1,1.4068560037345916,1.0435207133543523,0.016761741192366175,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.1530903882565593,6,6,0.0
PMBTA-2,1.3600802066340403,1.0201631690338233,0.05728235156796379,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.1272803017823747,7,7,0.0
PMPC,1.1915870752848259,1.0585402861622097,0.07813965932725397,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.1109967542783141,8,8,0.0
PMBTA-7,1.315547398948704,0.9690180058594088,0.042582530406796715,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.059080079706058,9,10,-1.0
PMBTA-9,1.3729721769077399,0.9490422146065087,0.01931522042753392,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.0486916471401921,10,11,-1.0
PMBTA-8,1.3018850824723585,0.9375443043665107,0.03466946754172039,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,1.0201980029159077,11,13,-2.0
PMBTA-10,0.8306735105266918,1.584303629102552,0.06875692814838497,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.996355495499137,12,9,3.0
PMTAC,0.7296280504885727,1.9410666770071623,0.24614170071733363,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8826616528297617,13,12,1.0
