run_id,polymer_id,reference_polymer_id,fog_native_constrained,fog_native_constrained_sem,fog,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog_constraint_reason,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_fog_native_constrained
260216-2,PMTAC,GOX,1.7046716132319224,,1.7046716132319224,0.7581814855165875,0.7,1,,15.786060606060602,20.820952380952377,20.820952380952377,0.7581814855165875,16.1537525218596,True,1
260216-2,PMBTA-10,GOX,1.5182693148548712,,1.5182693148548712,0.8873054947979475,0.7,1,,18.474545454545453,20.820952380952377,20.820952380952377,0.8873054947979475,14.387373253198046,True,2
260216-2,PMBTA-1,GOX,1.2584773135311036,,1.2584773135311036,1.2662610923062845,0.7,1,,26.36476190476189,20.820952380952377,20.820952380952377,1.2662610923062845,11.925540919059324,True,3
260216-2,PMBTA-6,GOX,1.2530481216724274,,1.2530481216724274,1.4041944927271066,0.7,1,,29.236666666666665,20.820952380952377,20.820952380952377,1.4041944927271066,11.874092991494862,True,4
260216-2,PMBTA-4,GOX,1.232551924116346,,1.232551924116346,1.405475253865154,0.7,1,,29.263333333333325,20.820952380952377,20.820952380952377,1.405475253865154,11.67986760498047,True,5
260216-2,PMPC,GOX,1.2178749992834372,,1.2178749992834372,1.0902479187631509,0.7,1,,22.7,20.820952380952377,20.820952380952377,1.0902479187631509,11.540786617362423,True,6
260216-2,PMBTA-5,GOX,1.2142950984559084,,1.2142950984559084,1.063351934864148,0.7,1,,22.14,20.820952380952377,20.820952380952377,1.063351934864148,11.50686288004444,True,7
260216-2,PMBTA-3,GOX,1.1774959792481134,,1.1774959792481134,1.2154423200073183,0.7,1,,25.306666666666658,20.820952380952377,20.820952380952377,1.2154423200073183,11.158148288863966,True,8
260216-2,PMBTA-11,GOX,1.1598571758034812,,1.1598571758034812,1.3333638276461441,0.7,1,,27.76190476190476,20.820952380952377,20.820952380952377,1.3333638276461441,10.991000045522188,True,9
260216-2,GOx with EtOH,GOX,1.1398380072214638,,1.1398380072214638,0.9054523831305459,0.7,1,,18.852380952380944,20.820952380952377,20.820952380952377,0.9054523831305459,10.801295065127643,False,10
260216-2,GOx,GOX,1.0,,1.0,1.0,0.7,1,,20.820952380952377,20.820952380952377,20.820952380952377,1.0,9.47616678571503,True,11
260216-2,GOx with DMSO,GOX,0.9701995206270623,,0.9701995206270623,1.0483029914920865,0.7,1,,21.826666666666657,20.820952380952377,20.820952380952377,1.0483029914920865,9.193772472882811,False,12
260216-2,PMBTA-2,GOX,0.9651490649115186,,0.9651490649115186,1.4096377275638092,0.7,1,,29.34999999999999,20.820952380952377,20.820952380952377,1.4096377275638092,9.145913512178453,True,13
260216-2,PMBTA-9,GOX,0.930491831833119,,0.930491831833119,1.3394474430518706,0.7,1,,27.88857142857142,20.820952380952377,20.820952380952377,1.3394474430518706,8.817495791196137,True,14
260216-2,PMBTA-7,GOX,0.9281216442843913,,0.9281216442843913,1.3258164852255052,0.7,1,,27.604761904761897,20.820952380952377,20.820952380952377,1.3258164852255052,8.795035498670968,True,15
260216-2,PMBTA-8,GOX,0.9042476668333589,,0.9042476668333589,1.2835056262007136,0.7,1,,26.72380952380952,20.820952380952377,20.820952380952377,1.2835056262007136,8.568801706506585,True,16
