run_id,polymer_id,reference_polymer_id,t50_min,t50_sem_min,t50_activity_adjusted_min,t50_activity_adjusted_sem_min,t50_censored,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,use_for_bo,rank_t50
260216-2,PMTAC,GOX,17.723675916121287,,13.135184981149704,,0,rea50,50.0,41.61965172942962,15.430606060606063,20.820952380952377,20.820952380952377,0.7411095217105649,0.7411095217105649,True,1
260216-2,PMBTA-10,GOX,14.394700205684977,,12.772496588473425,,0,rea50,50.0,37.38969261555622,18.474545454545453,20.820952380952377,20.820952380952377,0.8873054947979475,0.8873054947979475,True,2
260216-2,PMBTA-1,GOX,11.925692437658522,,11.925692437658522,,0,rea50,50.0,18.858308183887072,26.36476190476189,20.820952380952377,20.820952380952377,1.2662610923062845,1.0,True,3
260216-2,PMBTA-6,GOX,11.874092991494862,,11.874092991494862,,0,rea50,50.0,23.26525183097981,29.236666666666665,20.820952380952377,20.820952380952377,1.4041944927271066,1.0,True,4
260216-2,PMBTA-4,GOX,11.67986760498047,,11.67986760498047,,0,rea50,50.0,24.247527921067068,29.263333333333325,20.820952380952377,20.820952380952377,1.405475253865154,1.0,True,5
260216-2,PMPC,GOX,11.540837914522465,,11.540837914522465,,0,rea50,50.0,24.97028179847564,22.7,20.820952380952377,20.820952380952377,1.0902479187631509,1.0,True,6
260216-2,PMBTA-5,GOX,11.50686288004444,,11.50686288004444,,0,rea50,50.0,30.29458998293688,22.14,20.820952380952377,20.820952380952377,1.063351934864148,1.0,True,7
260216-2,PMBTA-3,GOX,11.15821283627806,,11.15821283627806,,0,rea50,50.0,18.54224542580708,25.306666666666658,20.820952380952377,20.820952380952377,1.2154423200073183,1.0,True,8
260216-2,PMBTA-11,GOX,10.991000045522188,,10.991000045522188,,0,rea50,50.0,22.312750142938825,27.76190476190476,20.820952380952377,20.820952380952377,1.3333638276461441,1.0,True,9
260216-2,GOx with EtOH,GOX,10.801295065127643,,9.78005835761603,,0,rea50,50.0,20.49392638177686,18.852380952380944,20.820952380952377,20.820952380952377,0.9054523831305459,0.9054523831305459,False,10
260216-2,GOx,GOX,9.47618365375417,,9.47618365375417,,0,rea50,50.0,19.791640677195527,20.820952380952377,20.820952380952377,20.820952380952377,1.0,1.0,True,11
260216-2,GOx with DMSO,GOX,9.193655017528464,,9.193655017528464,,0,rea50,50.0,20.11301160659745,21.826666666666657,20.820952380952377,20.820952380952377,1.0483029914920865,1.0,False,12
260216-2,PMBTA-2,GOX,9.145913512178453,,9.145913512178453,,0,rea50,50.0,14.06432295699758,29.34999999999999,20.820952380952377,20.820952380952377,1.4096377275638092,1.0,True,13
260216-2,PMBTA-9,GOX,8.817495791196137,,8.817495791196137,,0,rea50,50.0,15.18271538249,27.88857142857142,20.820952380952377,20.820952380952377,1.3394474430518706,1.0,True,14
260216-2,PMBTA-7,GOX,8.795035498670968,,8.795035498670968,,0,rea50,50.0,15.917951291420335,27.604761904761897,20.820952380952377,20.820952380952377,1.3258164852255052,1.0,True,15
260216-2,PMBTA-8,GOX,8.569779308265748,,8.569779308265748,,0,rea50,50.0,15.142227693902688,26.72380952380952,20.820952380952377,20.820952380952377,1.2835056262007136,1.0,True,16
